Step	Value
9457	1.9570588847273E-06
9489	1.73519617874263E-06
9491	1.57623139784846E-06
9539	1.94574045053741E-06
9548	1.59563910528959E-06
9557	2.23933284360101E-06
9567	1.38443556352286E-06
9594	1.90248488252109E-06
9608	1.76075116087304E-06
9672	1.57656609189871E-06
9673	1.38656594117492E-06
9693	1.58979696607275E-06
9705	1.21149253118347E-06
9713	1.51077438204084E-06
9754	1.63278332365735E-06
9755	1.17756940198888E-06
9773	1.85507110472827E-06
9814	1.56720670929644E-06
9825	1.37513416120783E-06
9838	1.31895365029777E-06
9851	1.24771645459987E-06
9868	1.38574830543803E-06
9895	2.00353724721936E-06
9905	1.99895384866977E-06
9917	1.1381957847334E-06
9918	1.66619634001108E-06
9949	1.46545426105149E-06
9950	1.12863290269161E-06
9951	1.49185325426515E-06
9961	1.42549856718688E-06
9974	1.33747926156502E-06
9980	1.10766950456309E-06
9988	1.95895017895964E-06
9994	1.4543118140864E-06
10064	1.11201325125876E-06
10091	1.0199954658674E-06
10122	9.932449529515E-07
10127	1.64573191341333E-06
10139	2.49178083322477E-06
10192	1.90311220649164E-06
10209	1.46117895383213E-06
10216	1.62261756031512E-06
10270	1.56181465627014E-06
10281	1.45775470627996E-06
10343	2.0207171473885E-06
10346	1.17192837478797E-06
10347	1.93591176866903E-06
10396	1.15404418465914E-06
10446	1.59992612225324E-06
10452	1.07899120393995E-06
10453	1.17257513920777E-06
10459	1.06282868728158E-06
10502	1.88521494237648E-06
10519	2.10389407584444E-06
10552	1.76543085217418E-06
10562	1.66406869084312E-06
10574	1.78596599198499E-06
10597	1.70586531567096E-06
10615	1.32169441258156E-06
10634	1.82552537353331E-06
10644	1.21109314932255E-06
10646	1.07403320726007E-06
10708	1.34867514134385E-06
10718	1.48032654578856E-06
10725	1.62224978339509E-06
10730	1.34450601763092E-06
10746	1.97647273125767E-06
10753	1.6942980209933E-06
10772	1.46101626796735E-06
10843	1.34692015762994E-06
10898	9.60494162427494E-07
10977	1.52063955738413E-06
11023	1.767006551745E-06
11024	1.60351396516489E-06
11029	1.56789633365406E-06
11037	1.04000491774059E-06
11055	1.44225703024858E-06
11095	1.33213450226322E-06
11119	1.5504559769397E-06
11125	1.28516694530845E-06
11126	1.7559548268764E-06
11160	1.3276323898026E-06
11171	1.09323161723296E-06
11209	1.36119433591375E-06
11213	1.52956215515587E-06
11219	1.50599714743294E-06
11226	1.2943746696692E-06
11227	1.21187565582659E-06
11331	1.33582693706558E-06
11332	9.97899746835174E-07
11395	1.18802745419089E-06
11405	9.39025710522401E-07
11410	1.29469799503568E-06
11444	1.07200651200401E-06
11449	1.03068111911853E-06
11451	1.04251989796467E-06
11462	1.79525602561625E-06
11464	1.44373223065486E-06
11527	9.12561461063888E-07
11571	1.02108469945961E-06
11579	1.19606465887045E-06
11612	1.2655232239922E-06
11697	8.2619135355344E-07
11737	1.47222795021662E-06
11757	1.45580702337611E-06
11766	1.29688214656198E-06
11787	1.45246610827599E-06
11818	8.53469941830554E-07
11820	1.19136177545442E-06
11824	1.27398323002126E-06
11845	1.58695002028253E-06
11848	9.81375933406525E-07
11852	9.7604311122268E-07
11868	9.04720479866228E-07
11877	1.11234226096713E-06
11883	1.38883206091123E-06
11920	1.75518107425887E-06
11942	1.39881103677908E-06
11956	1.12173006527883E-06
11971	1.20868003250507E-06
11973	1.13058899842144E-06
11978	1.45847877774941E-06
12028	1.43568490784674E-06
12058	1.53523933477118E-06
12064	1.36320272758894E-06
12069	1.13842008886422E-06
12077	1.78495724867389E-06
12136	1.52002473896573E-06
12176	1.18784475944267E-06
12180	1.20406002679374E-06
12211	1.29748241306515E-06
12236	1.34820129460422E-06
12247	1.86909380772704E-06
12263	1.527138806523E-06
12272	1.23288555187173E-06
12303	8.47269006953866E-07
12305	9.46554507663677E-07
12309	1.00458805718517E-06
12317	1.14472595669213E-06
12346	1.43448164635629E-06
12355	1.53548205616971E-06
12367	1.54565987031674E-06
12371	1.5993759916455E-06
12395	2.00738259081845E-06
12399	9.8062173492508E-07
12401	1.21436141853337E-06
12422	1.11520148493582E-06
12423	1.05135688954761E-06
12438	1.25188682886801E-06
12444	1.27113230519171E-06
12450	1.38599762067315E-06
12477	1.50187383951561E-06
